    file problem time
479 164327__400__9_9_44__77.apx EE-PR 179
480 164327__400__9_9_44__77.apx SE-PR 179
481 166553__200__10_10_103__63.apx EE-GR 98
482 166553__200__10_10_103__63.apx SE-GR 98
483 166553__200__10_10_103__63.apx EE-CO 113
484 166553__200__10_10_103__63.apx SE-CO 108
485 166553__200__10_10_103__63.apx EE-ST 101
486 166553__200__10_10_103__63.apx SE-ST 101
487 166553__200__10_10_103__63.apx EE-PR 109
488 166553__200__10_10_103__63.apx SE-PR 109
489 168618__400__15_15_40__0.apx EE-GR 102
490 168618__400__15_15_40__0.apx SE-GR 101
491 168618__400__15_15_40__0.apx EE-CO 524
492 168618__400__15_15_40__0.apx SE-CO 512
493 168618__400__15_15_40__0.apx EE-ST 286
494 168618__400__15_15_40__0.apx SE-ST 290
495 168618__400__15_15_40__0.apx EE-PR 525
496 168618__400__15_15_40__0.apx SE-PR 515
497 169156__300__6_6_8__31.apx EE-GR 113
498 169156__300__6_6_8__31.apx SE-GR 115
499 169156__300__6_6_8__31.apx EE-CO 184850
500 169156__300__6_6_8__31.apx SE-CO 185020
501 169156__300__6_6_8__31.apx EE-ST 85431
502 169156__300__6_6_8__31.apx SE-ST 85428
503 169156__300__6_6_8__31.apx EE-PR 184742
504 169156__300__6_6_8__31.apx SE-PR 185153
505 170593__400__15_21_39__30.apx EE-GR 101
506 170593__400__15_21_39__30.apx SE-GR 101
507 170593__400__15_21_39__30.apx EE-CO 3268
508 170593__400__15_21_39__30.apx SE-CO 3262
509 170593__400__15_21_39__30.apx EE-ST 674
510 170593__400__15_21_39__30.apx SE-ST 670
511 170593__400__15_21_39__30.apx EE-PR 3253
512 170593__400__15_21_39__30.apx SE-PR 3269
513 174098__300__14_14_67__2.apx EE-GR 100
514 174098__300__14_14_67__2.apx SE-GR 99
515 174098__300__14_14_67__2.apx EE-CO 122
516 174098__300__14_14_67__2.apx SE-CO 114
517 174098__300__14_14_67__2.apx EE-ST 109
518 174098__300__14_14_67__2.apx SE-ST 107
519 174098__300__14_14_67__2.apx EE-PR 118
520 174098__300__14_14_67__2.apx SE-PR 114
521 180108__300__8_8_11__63.apx EE-GR 126
522 180108__300__8_8_11__63.apx SE-GR 124
523 180108__300__8_8_11__63.apx EE-CO 40229
524 180108__300__8_8_11__63.apx SE-CO 40178
525 180108__300__8_8_11__63.apx EE-ST 24576
526 180108__300__8_8_11__63.apx SE-ST 24545
527 180108__300__8_8_11__63.apx EE-PR 40182
528 180108__300__8_8_11__63.apx SE-PR 40164
529 180143__400__12_12_44__40.apx EE-GR 101
530 180143__400__12_12_44__40.apx SE-GR 103
531 180143__400__12_12_44__40.apx EE-CO 119
532 180143__400__12_12_44__40.apx SE-CO 114
533 180143__400__12_12_44__40.apx EE-ST 110
534 180143__400__12_12_44__40.apx SE-ST 108
535 180143__400__12_12_44__40.apx EE-PR 117
536 180143__400__12_12_44__40.apx SE-PR 115
537 184426__300__9_13_69__53.apx EE-GR 100
538 184426__300__9_13_69__53.apx SE-GR 100
539 184426__300__9_13_69__53.apx EE-CO 124
540 184426__300__9_13_69__53.apx SE-CO 118
541 184426__300__9_13_69__53.apx EE-ST 109
542 184426__300__9_13_69__53.apx SE-ST 108
543 184426__300__9_13_69__53.apx EE-PR 120
544 184426__300__9_13_69__53.apx SE-PR 118
545 186964__300__11_11_17__16.apx EE-GR 134
546 186964__300__11_11_17__16.apx SE-GR 134
547 186964__300__11_11_17__16.apx EE-CO 3544
548 186964__300__11_11_17__16.apx SE-CO 3553
549 186964__300__11_11_17__16.apx EE-ST 2527
550 186964__300__11_11_17__16.apx SE-ST 2532
551 186964__300__11_11_17__16.apx EE-PR 3547
552 186964__300__11_11_17__16.apx SE-PR 3547
