    file problem time exit-status
223 132981__300__10_10_19__14.apx EE-PR 1350 0
224 132981__300__10_10_19__14.apx SE-PR 1347 0
225 134006__300__16_17_24__97.apx EE-GR 122 0
226 134006__300__16_17_24__97.apx SE-GR 122 0
227 134006__300__16_17_24__97.apx EE-CO 329 0
228 134006__300__16_17_24__97.apx SE-CO 123 0
229 134006__300__16_17_24__97.apx EE-ST 269 0
230 134006__300__16_17_24__97.apx SE-ST 163 0
231 134006__300__16_17_24__97.apx EE-PR 330 0
232 134006__300__16_17_24__97.apx SE-PR 334 0
233 135068__300__11_11_16__84.apx EE-GR 132 0
234 135068__300__11_11_16__84.apx SE-GR 132 0
235 135068__300__11_11_16__84.apx EE-CO 424 0
236 135068__300__11_11_16__84.apx SE-CO 132 0
237 135068__300__11_11_16__84.apx EE-ST 338 0
238 135068__300__11_11_16__84.apx SE-ST 229 0
239 135068__300__11_11_16__84.apx EE-PR 427 0
240 135068__300__11_11_16__84.apx SE-PR 419 0
241 136011__300__12_12_21__24.apx EE-GR 125 0
242 136011__300__12_12_21__24.apx SE-GR 125 0
243 136011__300__12_12_21__24.apx EE-CO 666 0
244 136011__300__12_12_21__24.apx SE-CO 125 0
245 136011__300__12_12_21__24.apx EE-ST 543 0
246 136011__300__12_12_21__24.apx SE-ST 184 0
247 136011__300__12_12_21__24.apx EE-PR 662 0
248 136011__300__12_12_21__24.apx SE-PR 667 0
249 136131__300__8_10_31__20.apx EE-GR 114 0
250 136131__300__8_10_31__20.apx SE-GR 113 0
251 136131__300__8_10_31__20.apx EE-CO 557 0
252 136131__300__8_10_31__20.apx SE-CO 114 0
253 136131__300__8_10_31__20.apx EE-ST 425 0
254 136131__300__8_10_31__20.apx SE-ST 236 0
255 136131__300__8_10_31__20.apx EE-PR 556 0
256 136131__300__8_10_31__20.apx SE-PR 557 0
257 139361__400__14_14_37__40.apx EE-GR 103 0
258 139361__400__14_14_37__40.apx SE-GR 104 0
259 139361__400__14_14_37__40.apx EE-CO 648 0
260 139361__400__14_14_37__40.apx SE-CO 104 0
261 139361__400__14_14_37__40.apx EE-ST 418 0
262 139361__400__14_14_37__40.apx SE-ST 137 0
263 139361__400__14_14_37__40.apx EE-PR 655 0
264 139361__400__14_14_37__40.apx SE-PR 646 0
265 139477__300__10_10_18__32.apx EE-GR 130 0
266 139477__300__10_10_18__32.apx SE-GR 131 0
267 139477__300__10_10_18__32.apx EE-CO 195 0
268 139477__300__10_10_18__32.apx SE-CO 130 0
269 139477__300__10_10_18__32.apx EE-ST 187 0
270 139477__300__10_10_18__32.apx SE-ST 151 0
271 139477__300__10_10_18__32.apx EE-PR 194 0
272 139477__300__10_10_18__32.apx SE-PR 194 0
273 139987__300__8_12_57__96.apx EE-GR 102 0
274 139987__300__8_12_57__96.apx SE-GR 102 0
275 139987__300__8_12_57__96.apx EE-CO 124 0
276 139987__300__8_12_57__96.apx SE-CO 103 0
277 139987__300__8_12_57__96.apx EE-ST 112 0
278 139987__300__8_12_57__96.apx SE-ST 108 0
279 139987__300__8_12_57__96.apx EE-PR 123 0
280 139987__300__8_12_57__96.apx SE-PR 121 0
281 143673__300__4_4_5__98.apx EE-GR 126 0
282 143673__300__4_4_5__98.apx SE-GR 125 0
283 143673__300__4_4_5__98.apx EE-CO 77061 0
284 143673__300__4_4_5__98.apx SE-CO 127 0
285 143673__300__4_4_5__98.apx EE-ST 48798 0
286 143673__300__4_4_5__98.apx SE-ST 13047 0
287 143673__300__4_4_5__98.apx EE-PR 77094 0
288 143673__300__4_4_5__98.apx SE-PR 77151 0
289 143978__300__5_5_8__58.apx EE-GR 125 0
290 143978__300__5_5_8__58.apx SE-GR 125 0
291 143978__300__5_5_8__58.apx EE-CO 35461 0
292 143978__300__5_5_8__58.apx SE-CO 127 0
293 143978__300__5_5_8__58.apx EE-ST 23665 0
294 143978__300__5_5_8__58.apx SE-ST 3508 0
295 143978__300__5_5_8__58.apx EE-PR 35508 0
296 143978__300__5_5_8__58.apx SE-PR 35508 0
297 144063__300__13_13_24__29.apx EE-GR 114 0
298 144063__300__13_13_24__29.apx SE-GR 114 0
299 144063__300__13_13_24__29.apx EE-CO 8572 0
300 144063__300__13_13_24__29.apx SE-CO 115 0
301 144063__300__13_13_24__29.apx EE-ST 5683 0
302 144063__300__13_13_24__29.apx SE-ST 1198 0
303 144063__300__13_13_24__29.apx EE-PR 8587 0
304 144063__300__13_13_24__29.apx SE-PR 8585 0
305 145703__300__11_12_17__95.apx EE-GR 132 0
